#,,Deutsch,Bedeutung ,Beispiel,Example,Takeaway
1567,die,"Vermittlung, en","mediation, placement",Die Vermittlung war erfolgreich.,The placement was successful.,
1568,die,"Vermutung, en","assumption, guess",Meine Vermutung war richtig.,My guess was correct.,
1569,der,"Verschwender, -","spendthrift, waster",Er ist ein Verschwender.,He is a spendthrift.,
1570,die,"Version, en",version,Die Version ist neu.,The version is new.,
1571,der,Verstand,"mind, intellect",Er hat einen klaren Verstand.,He has a clear mind.,
1572,das,"Versteck, e",hiding place,Das Versteck ist gut.,The hiding place is good.,
1573,der,"Versuch, e","attempt, experiment",Der Versuch war erfolgreich.,The experiment was successful.,
1574,der,"Versucher, -","tempter, tester",Der Versucher hat ihn verführt.,The tempter has seduced him.,
1575,die,"Verteilung, en",distribution,Die Verteilung ist fair.,The distribution is fair.,
1576,der,"Vertrag, Verträge",contract,Der Vertrag ist gültig.,The contract is valid.,
1577,die,"Verwaltung, en",administration,Die Verwaltung ist gut organisiert.,The administration is well-organized.,
1578,der,"Verwandte, n",relative,Ich besuche meine Verwandten.,I am visiting my relatives.,
1579,der,"Verzicht, e","renunciation, waiver",Der Verzicht auf die Erbschaft.,The renunciation of the inheritance.,
1580,das,"Vieh, er",livestock,Das Vieh weidet auf der Wiese.,The livestock is grazing in the meadow.,
1581,,Vielen Dank/ Dankeschön,Thank you very much,Vielen Dank für deine Hilfe.,Thank you very much for your help.,
1582,die,Vier,four,Die Zahl ist vier.,The number is four.,
1583,das,"Viertel, s",quarter,Ein Viertel des Kuchens.,A quarter of the cake.,
1584,die,"Visitenkarte, n",business card,Hier ist meine Visitenkarte.,Here is my business card.,
1585,das,"Visum, Visa",visa,Ich brauche ein Visum für die Reise.,I need a visa for the trip.,
1586,der,"Vogel, Vögel",bird,Der Vogel singt.,The bird is singing.,
1587,die,"Vokabel, n",vocabulary word,Ich lerne Vokabeln.,I am learning vocabulary words.,
1588,das,"Volk, Völker","people, nation",Das Volk ist glücklich.,The people are happy.,
1589,die,"Volkskultur, en",folk culture,Die Volkskultur ist reich.,The folk culture is rich.,
1590,die,"Volkskunde, n","folklore, ethnology",Ich studiere Volkskunde.,I am studying folklore.,
1591,der,"Volkskundler, -","folklorist, ethnologist",Der Volkskundler forscht über Traditionen.,The folklorist is researching traditions.,
1592,die,"Volkskunst, -",folk art,Die Volkskunst ist farbenfroh.,The folk art is colorful.,
1593,der,"Volleyball, -",volleyball,Ich spiele Volleyball.,I am playing volleyball.,
1594,der,"Vorleser, -",reader,Der Vorleser liest ein Buch vor.,The reader is reading a book aloud.,
1595,die,"Vorlesung, en",lecture,Die Vorlesung war interessant.,The lecture was interesting.,
1596,der,"Vormittag, e",morning (before noon),Am Vormittag gehe ich einkaufen.,"In the morning, I am going shopping.",
1597,der,"Vorname, n",first name,Mein Vorname ist Max.,My first name is Max.,
1598,der,"Vorschlag, -schläge","suggestion, proposal",Ich habe einen Vorschlag.,I have a suggestion.,
1599,die,"Vorspeise, n","appetizer, starter",Als Vorspeise gibt es Suppe.,Soup is served as an appetizer.,
1600,der,"Vorteil, e",advantage,Das hat viele Vorteile.,That has many advantages.,
1601,der,"Vulkan, e",volcano,Der Vulkan bricht aus.,The volcano is erupting.,
1602,die,"Waage, n","scale, balance",Die Waage ist kaputt.,The scale is broken.,
1603,der,"Wagen, -","car, cart",Der Wagen ist neu.,The car is new.,
1604,der,Wahnsinn,"madness, insanity",Das ist doch Wahnsinn!,That's madness!,
1605,die,"Wahrscheinlichkeit, en",probability,Die Wahrscheinlichkeit ist gering.,The probability is low.,
1606,der,"Wald, Wälder",forest,Der Wald ist groß.,The forest is big.,
1607,die,"Wand, Wände",wall,Die Wand ist weiß.,The wall is white.,
1608,die,"Wange, n",cheek,Die Wange ist rot.,The cheek is red.,
1609,die,"Wanne, n",tub,Die Wanne ist voll.,The tub is full.,
1610,die,"Ware, n","goods, merchandise",Die Ware ist teuer.,The goods are expensive.,
1611,die,Wärme,warmth,Die Wärme ist angenehm.,The warmth is pleasant.,
1612,die,"Wäsche, n",laundry,Die Wäsche ist sauber.,The laundry is clean.,
1613,die,"Waschmaschine, n",washing machine,Die Waschmaschine ist kaputt.,The washing machine is broken.,
1614,das,"Wasser, -",water,Das Wasser ist kalt.,The water is cold.,
1615,das,"Wattenmeer, e",Wadden Sea,Das Wattenmeer ist ein Nationalpark.,The Wadden Sea is a national park.,
1616,die,"Webseite, n",website,Die Webseite ist modern.,The website is modern.,
1617,der,"Weg, e","way, path",Der Weg ist lang.,The way is long.,
1618,die,"Weggabelung, en",fork in the road,An der Weggabelung biegen wir links ab.,"At the fork in the road, we turn left.",
1619,das,"Weh, e","pain, ache",Mein Kopf tut weh.,My head hurts.,
1620,die,Weihnacht,Christmas (used in compound nouns),Der Weihnachtsbaum ist geschmückt.,The Christmas tree is decorated.,
1621,das,"Weihnachten, -",Christmas,Weihnachten ist am 24. Dezember.,Christmas is on December 24th.,
1622,der,"Wein, e",wine,Der Wein ist rot.,The wine is red.,
1623,die,"Weite, n","width, distance, vastness",Die Weite des Meeres.,The vastness of the sea.,
1624,die,"Welle, n",wave,Die Welle ist hoch.,The wave is high.,
1625,die,"Welt, en",world,Die Welt ist schön.,The world is beautiful.,
1626,die,"Wendung, en","turn, phrase",Die Wendung ist ungewöhnlich.,The turn of phrase is unusual.,
1627,die,"Werbeagentur, en",advertising agency,Die Werbeagentur erstellt Kampagnen.,The advertising agency creates campaigns.,
1628,die,"Werkstatt, -stätten","workshop, garage",Das Auto ist in der Werkstatt.,The car is in the garage.,
1629,der,"Wert, e",value,Der Wert ist hoch.,The value is high.,
1630,der,"Westen, -",west,Wir fahren nach Westen.,We are driving to the west.,
1631,das,"Wetter, -",weather,Das Wetter ist schön.,The weather is nice.,
1632,der,"Wettkampf, -kämpfe",competition,Der Wettkampf war spannend.,The competition was exciting.,
1633,der,"Wettkämpfer, -",competitor (male),Der Wettkämpfer ist schnell.,The competitor is fast.,
1634,das,"Whiteboard, s",whiteboard,Das Whiteboard ist neu.,The whiteboard is new.,
1635,,Wie geht es dir/ Ihnen?,How are you? (informal/formal),Wie geht es dir heute?,How are you today?,
1636,,Wie geht's?,How's it going? (informal),"Wie geht's, Max?","How's it going, Max?",
1637,das,"Wiedersehen, -","seeing again, goodbye",Auf Wiedersehen!,Goodbye!,
1638,die,"Wiese, n",meadow,Die Wiese ist grün.,The meadow is green.,
1639,der,"Wille, n",will,Der Wille ist stark.,The will is strong.,
1640,der,"Wind, e",wind,Der Wind ist stark.,The wind is strong.,
1641,der,"Wink, e","wink, hint",Er gab mir einen Wink.,He gave me a hint.,
1642,der,"Winter, -",winter,Im Winter ist es kalt.,"In winter, it is cold.",
1643,die,"Winterjacke, n",winter jacket,Die Winterjacke ist warm.,The winter jacket is warm.,
1644,die,"Wirtschaft, en","economy, business",Die Wirtschaft wächst.,The economy is growing.,
1645,der,"Wirtschafter, -",economist (male),Der Wirtschafter analysiert die Daten.,The economist is analyzing the data.,
1646,der,"Wirtschaftler, -",economist (male),Der Wirtschaftler hat Recht.,The economist is right.,
1647,das,"Wirtschaftsrecht, -",commercial law,Ich studiere Wirtschaftsrecht.,I am studying commercial law.,
1648,der,"Witz, e",joke,Der Witz ist lustig.,The joke is funny.,
1649,die,"Woche, n",week,Die Woche hat sieben Tage.,The week has seven days.,
1650,das,"Wochenende, n",weekend,Ich wünsche dir ein schönes Wochenende.,I wish you a nice weekend.,
1651,das,"Wohl, -","well-being, welfare",Er sorgt für ihr Wohl.,He is taking care of her well-being.,
1652,die,"Wohnfläche, n",living space,Die Wohnfläche beträgt 80 Quadratmeter.,The living space is 80 square meters.,
1653,die,"Wohngemeinschaft, en",shared flat,Ich wohne in einer Wohngemeinschaft.,I am living in a shared flat.,
1654,das,"Wohnheim, e","hall of residence, dormitory",Ich wohne im Studentenwohnheim.,I am living in the student dormitory.,
1655,der,"Wohnort, e",place of residence,Mein Wohnort ist Berlin.,My place of residence is Berlin.,
1656,die,"Wohnung, en",apartment,Die Wohnung ist groß.,The apartment is big.,
1657,das,"Wohnzimmer, -",living room,Das Wohnzimmer ist gemütlich.,The living room is cozy.,
1658,das,"Wort, Wörter",word,Das Wort hat fünf Buchstaben.,The word has five letters.,
1659,das,"Wörterbuch, -bücher",dictionary,Ich schlage das Wort im Wörterbuch nach.,I am looking up the word in the dictionary.,
1660,der,"Wunsch, Wünsche",wish,Ich habe einen Wunsch.,I have a wish.,
1661,die,"Würdigkeit, -","worthiness, dignity",Die Würdigkeit der Person ist unbestritten.,The worthiness of the person is undisputed.,
1662,der,"Würfel, -","dice, cube",Ich werfe den Würfel.,I am throwing the dice.,
1663,die,"Wurst, Würste",sausage,Ich esse eine Wurst.,I am eating a sausage.,
1664,das,"Würstchen, -","small sausage, hot dog",Das Würstchen schmeckt gut.,The hot dog tastes good.,
1665,die,"Zahl, en",number,Die Zahl ist gerade.,The number is even.,
1666,der,"Zahnarzt, -ärzte",dentist,Ich habe einen Termin beim Zahnarzt.,I have an appointment with the dentist.,
1667,die,"Zehn, en",ten,Die Zahl ist zehn.,The number is ten.,
1668,das,"Zeichen, -","sign, character",Das Zeichen ist wichtig.,The sign is important.,
1669,die,"Zeichnung, en",drawing,Die Zeichnung ist schön.,The drawing is beautiful.,
1670,die,"Zeit, en",time,Ich habe keine Zeit.,I don't have time.,
1671,die,"Zeitangabe, n","time reference, time specification",Die Zeitangabe ist ungenau.,The time reference is inaccurate.,
1672,die,"Zeitschrift, en",magazine,Ich lese eine Zeitschrift.,I am reading a magazine.,
1673,die,"Zeitung, en",newspaper,Die Zeitung ist interessant.,The newspaper is interesting.,
1674,das,"Zelt, e",tent,Wir schlafen im Zelt.,We are sleeping in the tent.,
1675,der,"Zentimeter, -",centimeter,Der Stift ist 10 Zentimeter lang.,The pen is 10 centimeters long.,
1676,das,"Zentrum, en",center,Das Zentrum der Stadt.,The center of the city.,
1677,die,"Zerlegung, en",decomposition,Die Zerlegung des Problems.,The decomposition of the problem.,
1678,der,"Zettel, -","note, slip of paper",Ich schreibe einen Zettel.,I am writing a note.,
1679,das,"Ziel, e","goal, destination","Mein Ziel ist es, nach Hause zu kommen.",My goal is to get home.,
1680,das,"Zimmer, -",room,Das Zimmer ist sauber.,The room is clean.,
1681,die,"Zitrone, n",lemon,Die Zitrone ist sauer.,The lemon is sour.,
1682,der,"Zoo, s",zoo,Wir gehen in den Zoo.,We are going to the zoo.,
1683,das,"Zubehör, e",accessories,Das Zubehör ist teuer.,The accessories are expensive.,
1684,die,"Zucchino, Zucchini",zucchini,Die Zucchini sind grün.,The zucchini are green.,
1685,der,"Zucker, -",sugar,Ich brauche Zucker.,I need sugar.,
1686,der,"Zufall, Zufälle",coincidence,Das ist ein Zufall.,That is a coincidence.,
1687,der,"Zug, Züge",train,Der Zug ist schnell.,The train is fast.,
1688,das,Zuhause,at home,Ich bin zuhause.,I am at home.,
1689,die,"Zunge, n",tongue,Meine Zunge ist lang.,My tongue is long.,
1690,der,"Zungenbrecher, -",tongue twister,Der Zungenbrecher ist schwierig.,The tongue twister is difficult.,
1691,die,Zwei,two,Die Zahl ist zwei.,The number is two.,
1692,die,"Zwiebel, n",onion,Die Zwiebel ist scharf.,The onion is spicy.,
1693,der,"Zwilling, e",twin,Er hat einen Zwilling.,He has a twin.,
1694,die,Zwölf,twelve,Die Zahl ist zwölf.,The number is twelve.,
1695,,,,,,
1696,,,,,,
1697,,,,,,
1698,,,,,,
1699,,,,,,
1700,,,,,,
1701,,,,,,
1702,,,,,,
1703,,,,,,
1704,,,,,,
1705,,,,,,
1706,,,,,,
1707,,,,,,
1708,,,,,,
1709,,,,,,
1710,,,,,,
1711,,,,,,
1712,,,,,,
1713,,,,,,
1714,,,,,,
1715,,,,,,
1716,,,,,,
1717,,,,,,
1718,,,,,,
1719,,,,,,
1720,,,,,,
1721,,,,,,
1722,,,,,,
1723,,,,,,
1724,,,,,,
1725,,,,,,
1726,,,,,,
1727,,,,,,
1728,,,,,,
1729,,,,,,
1730,,,,,,
1731,,,,,,
1732,,,,,,
1733,,,,,,
1734,,,,,,
1735,,,,,,
1736,,,,,,
1737,,,,,,
1738,,,,,,
1739,,,,,,
1740,,,,,,
1741,,,,,,
1742,,,,,,
1743,,,,,,
1744,,,,,,
1745,,,,,,
1746,,,,,,
1747,,,,,,
1748,,,,,,
1749,,,,,,
1750,,,,,,
1751,,,,,,
1752,,,,,,
1753,,,,,,
1754,,,,,,
1755,,,,,,
1756,,,,,,
1757,,,,,,
1758,,,,,,
1759,,,,,,
1760,,,,,,
1761,,,,,,
1762,,,,,,
1763,,,,,,
1764,,,,,,
1765,,,,,,
1766,,,,,,
1767,,,,,,
1768,,,,,,
1769,,,,,,
1770,,,,,,
1771,,,,,,
1772,,,,,,
1773,,,,,,
1774,,,,,,
1775,,,,,,
1776,,,,,,
1777,,,,,,
1778,,,,,,
1779,,,,,,
1780,,,,,,
1781,,,,,,
1782,,,,,,
1783,,,,,,
1784,,,,,,
1785,,,,,,
1786,,,,,,
1787,,,,,,
1788,,,,,,
1789,,,,,,
1790,,,,,,
1791,,,,,,
1792,,,,,,
1793,,,,,,
1794,,,,,,
1795,,,,,,
1796,,,,,,
1797,,,,,,
1798,,,,,,
1799,,,,,,
1800,,,,,,
1801,,,,,,
1802,,,,,,
1803,,,,,,
1804,,,,,,
1805,,,,,,
1806,,,,,,
1807,,,,,,
1808,,,,,,
1809,,,,,,
1810,,,,,,
1811,,,,,,
1812,,,,,,
1813,,,,,,
1814,,,,,,
1815,,,,,,
1816,,,,,,
1817,,,,,,
1818,,,,,,
1819,,,,,,
1820,,,,,,
1821,,,,,,
1822,,,,,,
1823,,,,,,
1824,,,,,,
1825,,,,,,
1826,,,,,,
1827,,,,,,
1828,,,,,,
1829,,,,,,
1830,,,,,,
1831,,,,,,
1832,,,,,,
1833,,,,,,
1834,,,,,,
1835,,,,,,
1836,,,,,,
1837,,,,,,
1838,,,,,,
1839,,,,,,
1840,,,,,,
1841,,,,,,
1842,,,,,,
1843,,,,,,
1844,,,,,,
1845,,,,,,
1846,,,,,,
1847,,,,,,
1848,,,,,,
1849,,,,,,
1850,,,,,,
1851,,,,,,
1852,,,,,,
1853,,,,,,
1854,,,,,,
1855,,,,,,
1856,,,,,,
1857,,,,,,
1858,,,,,,
1859,,,,,,
1860,,,,,,
1861,,,,,,
1862,,,,,,
1863,,,,,,
1864,,,,,,
1865,,,,,,
1866,,,,,,
1867,,,,,,
1868,,,,,,
1869,,,,,,
1870,,,,,,
1871,,,,,,
1872,,,,,,
1873,,,,,,
1874,,,,,,
1875,,,,,,
1876,,,,,,
1877,,,,,,
1878,,,,,,
1879,,,,,,
1880,,,,,,
1881,,,,,,
1882,,,,,,
1883,,,,,,
1884,,,,,,
1885,,,,,,
1886,,,,,,
1887,,,,,,
1888,,,,,,
1889,,,,,,
1890,,,,,,
1891,,,,,,
1892,,,,,,
1893,,,,,,
1894,,,,,,
1895,,,,,,
1896,,,,,,
1897,,,,,,
1898,,,,,,
1899,,,,,,
1900,,,,,,
1901,,,,,,
1902,,,,,,
1903,,,,,,
1904,,,,,,
1905,,,,,,
1906,,,,,,
1907,,,,,,
1908,,,,,,
1909,,,,,,
1910,,,,,,
1911,,,,,,
1912,,,,,,
1913,,,,,,
1914,,,,,,
1915,,,,,,
1916,,,,,,
1917,,,,,,
1918,,,,,,
1919,,,,,,
1920,,,,,,
1921,,,,,,
1922,,,,,,
1923,,,,,,
1924,,,,,,
1925,,,,,,
1926,,,,,,
1927,,,,,,
1928,,,,,,
1929,,,,,,
1930,,,,,,
1931,,,,,,
1932,,,,,,
1933,,,,,,
1934,,,,,,
1935,,,,,,
1936,,,,,,
1937,,,,,,
1938,,,,,,
1939,,,,,,
1940,,,,,,
1941,,,,,,
1942,,,,,,
1943,,,,,,
1944,,,,,,
1945,,,,,,
1946,,,,,,
1947,,,,,,
1948,,,,,,
1949,,,,,,
1950,,,,,,
1951,,,,,,
1952,,,,,,
1953,,,,,,
1954,,,,,,
1955,,,,,,
1956,,,,,,
1957,,,,,,
1958,,,,,,
1959,,,,,,
1960,,,,,,
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,,,,,,
1965,,,,,,
1966,,,,,,
1967,,,,,,
1968,,,,,,
1969,,,,,,
1970,,,,,,
1971,,,,,,
1972,,,,,,
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1982,,,,,,
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,,,,,,
1988,,,,,,
1989,,,,,,
1990,,,,,,
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,,,,,,
1995,,,,,,
1996,,,,,,
1997,,,,,,
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,,,,,,
2005,,,,,,
2006,,,,,,
2007,,,,,,
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,,,,,,
2013,,,,,,
2014,,,,,,
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
2020,,,,,,
2021,,,,,,
2022,,,,,,
2023,,,,,,
2024,,,,,,
2025,,,,,,
2026,,,,,,
2027,,,,,,
2028,,,,,,
2029,,,,,,
2030,,,,,,
2031,,,,,,
2032,,,,,,
2033,,,,,,
2034,,,,,,
2035,,,,,,
2036,,,,,,
2037,,,,,,
2038,,,,,,
2039,,,,,,
2040,,,,,,
2041,,,,,,
2042,,,,,,
2043,,,,,,
2044,,,,,,
2045,,,,,,
2046,,,,,,
2047,,,,,,
2048,,,,,,
2049,,,,,,
2050,,,,,,
2051,,,,,,
2052,,,,,,
2053,,,,,,
2054,,,,,,
2055,,,,,,
2056,,,,,,
2057,,,,,,
2058,,,,,,
2059,,,,,,
2060,,,,,,
2061,,,,,,
2062,,,,,,
2063,,,,,,
2064,,,,,,
2065,,,,,,
2066,,,,,,
2067,,,,,,
2068,,,,,,
2069,,,,,,
2070,,,,,,
2071,,,,,,
2072,,,,,,
2073,,,,,,
2074,,,,,,
2075,,,,,,
2076,,,,,,
2077,,,,,,
2078,,,,,,
2079,,,,,,
2080,,,,,,
2081,,,,,,
2082,,,,,,
2083,,,,,,
2084,,,,,,
2085,,,,,,
2086,,,,,,
2087,,,,,,
2088,,,,,,
2089,,,,,,
2090,,,,,,
2091,,,,,,
2092,,,,,,
2093,,,,,,
2094,,,,,,
2095,,,,,,
2096,,,,,,
2097,,,,,,
2098,,,,,,
2099,,,,,,
2100,,,,,,
2101,,,,,,
2102,,,,,,
2103,,,,,,
2104,,,,,,
2105,,,,,,
2106,,,,,,
2107,,,,,,
2108,,,,,,
2109,,,,,,
2110,,,,,,
2111,,,,,,
2112,,,,,,
2113,,,,,,
2114,,,,,,
2115,,,,,,
2116,,,,,,
2117,,,,,,
2118,,,,,,
2119,,,,,,
2120,,,,,,
2121,,,,,,
2122,,,,,,
2123,,,,,,
2124,,,,,,
2125,,,,,,
2126,,,,,,
2127,,,,,,
2128,,,,,,
2129,,,,,,
2130,,,,,,
2131,,,,,,
2132,,,,,,
2133,,,,,,
2134,,,,,,
2135,,,,,,
2136,,,,,,
2137,,,,,,
2138,,,,,,
2139,,,,,,
2140,,,,,,
2141,,,,,,
2142,,,,,,
2143,,,,,,
2144,,,,,,
2145,,,,,,
2146,,,,,,
2147,,,,,,
2148,,,,,,
2149,,,,,,
2150,,,,,,
2151,,,,,,
2152,,,,,,
2153,,,,,,
2154,,,,,,
2155,,,,,,
2156,,,,,,
2157,,,,,,
2158,,,,,,
2159,,,,,,
2160,,,,,,
2161,,,,,,
2162,,,,,,
2163,,,,,,
2164,,,,,,
2165,,,,,,
2166,,,,,,
2167,,,,,,
2168,,,,,,
2169,,,,,,
2170,,,,,,
2171,,,,,,
2172,,,,,,
2173,,,,,,
2174,,,,,,
2175,,,,,,
2176,,,,,,
2177,,,,,,
2178,,,,,,
2179,,,,,,
2180,,,,,,
2181,,,,,,
2182,,,,,,
2183,,,,,,
2184,,,,,,
2185,,,,,,
2186,,,,,,
2187,,,,,,
2188,,,,,,
2189,,,,,,
2190,,,,,,
2191,,,,,,
2192,,,,,,
2193,,,,,,
2194,,,,,,
2195,,,,,,
2196,,,,,,
2197,,,,,,
2198,,,,,,
2199,,,,,,
2200,,,,,,
2201,,,,,,
2202,,,,,,
2203,,,,,,
2204,,,,,,
2205,,,,,,
2206,,,,,,
2207,,,,,,
2208,,,,,,
2209,,,,,,
2210,,,,,,
2211,,,,,,
2212,,,,,,
2213,,,,,,
2214,,,,,,
2215,,,,,,
2216,,,,,,
2217,,,,,,
2218,,,,,,
2219,,,,,,
2220,,,,,,
2221,,,,,,
2222,,,,,,
2223,,,,,,
2224,,,,,,
2225,,,,,,
2226,,,,,,
2227,,,,,,
2228,,,,,,
2229,,,,,,
2230,,,,,,
2231,,,,,,
2232,,,,,,
2233,,,,,,
2234,,,,,,
2235,,,,,,
2236,,,,,,
2237,,,,,,
2238,,,,,,
2239,,,,,,
2240,,,,,,
2241,,,,,,
2242,,,,,,
2243,,,,,,
2244,,,,,,
2245,,,,,,
2246,,,,,,
2247,,,,,,
2248,,,,,,
2249,,,,,,
2250,,,,,,
2251,,,,,,
2252,,,,,,
2253,,,,,,
2254,,,,,,
2255,,,,,,
2256,,,,,,
2257,,,,,,
2258,,,,,,
2259,,,,,,
2260,,,,,,
2261,,,,,,
2262,,,,,,
2263,,,,,,
2264,,,,,,
2265,,,,,,
2266,,,,,,
2267,,,,,,
2268,,,,,,
2269,,,,,,
2270,,,,,,
2271,,,,,,
2272,,,,,,
2273,,,,,,
2274,,,,,,
2275,,,,,,
2276,,,,,,
2277,,,,,,
2278,,,,,,
2279,,,,,,
2280,,,,,,
2281,,,,,,
2282,,,,,,
2283,,,,,,
2284,,,,,,
2285,,,,,,
2286,,,,,,
2287,,,,,,
2288,,,,,,
2289,,,,,,
2290,,,,,,
2291,,,,,,
2292,,,,,,
2293,,,,,,
2294,,,,,,
2295,,,,,,
2296,,,,,,
2297,,,,,,
2298,,,,,,
2299,,,,,,
2300,,,,,,
2301,,,,,,
2302,,,,,,
2303,,,,,,
2304,,,,,,
2305,,,,,,
2306,,,,,,
2307,,,,,,
2308,,,,,,
2309,,,,,,
2310,,,,,,
2311,,,,,,
2312,,,,,,
2313,,,,,,
2314,,,,,,
2315,,,,,,
2316,,,,,,
2317,,,,,,
2318,,,,,,
2319,,,,,,
2320,,,,,,
2321,,,,,,
2322,,,,,,
2323,,,,,,
2324,,,,,,
2325,,,,,,
2326,,,,,,
2327,,,,,,
2328,,,,,,
2329,,,,,,
2330,,,,,,
2331,,,,,,
2332,,,,,,
2333,,,,,,
2334,,,,,,
2335,,,,,,
2336,,,,,,
2337,,,,,,
2338,,,,,,
2339,,,,,,
2340,,,,,,
2341,,,,,,
2342,,,,,,
2343,,,,,,
2344,,,,,,
2345,,,,,,
2346,,,,,,
2347,,,,,,
2348,,,,,,
2349,,,,,,
2350,,,,,,
2351,,,,,,
2352,,,,,,
2353,,,,,,
2354,,,,,,
2355,,,,,,
2356,,,,,,
2357,,,,,,
2358,,,,,,
2359,,,,,,
2360,,,,,,
2361,,,,,,
2362,,,,,,
2363,,,,,,
2364,,,,,,
2365,,,,,,
2366,,,,,,
2367,,,,,,
2368,,,,,,
2369,,,,,,
2370,,,,,,
2371,,,,,,
2372,,,,,,
2373,,,,,,
2374,,,,,,
2375,,,,,,
2376,,,,,,
2377,,,,,,
2378,,,,,,
2379,,,,,,
2380,,,,,,
2381,,,,,,
2382,,,,,,
2383,,,,,,
2384,,,,,,
2385,,,,,,
2386,,,,,,
2387,,,,,,
2388,,,,,,
2389,,,,,,
2390,,,,,,
2391,,,,,,
2392,,,,,,
2393,,,,,,
2394,,,,,,
2395,,,,,,
2396,,,,,,
2397,,,,,,
2398,,,,,,
2399,,,,,,
2400,,,,,,
2401,,,,,,
2402,,,,,,
2403,,,,,,
2404,,,,,,
2405,,,,,,
2406,,,,,,
2407,,,,,,
2408,,,,,,
2409,,,,,,
2410,,,,,,
2411,,,,,,
2412,,,,,,
2413,,,,,,
2414,,,,,,
2415,,,,,,
2416,,,,,,
2417,,,,,,
2418,,,,,,
2419,,,,,,
2420,,,,,,
2421,,,,,,
2422,,,,,,
2423,,,,,,
2424,,,,,,
2425,,,,,,
2426,,,,,,
2427,,,,,,
2428,,,,,,
2429,,,,,,
2430,,,,,,
2431,,,,,,
2432,,,,,,
2433,,,,,,
2434,,,,,,
2435,,,,,,
2436,,,,,,
2437,,,,,,
2438,,,,,,
2439,,,,,,
2440,,,,,,
2441,,,,,,
2442,,,,,,
2443,,,,,,
2444,,,,,,
2445,,,,,,
2446,,,,,,
2447,,,,,,
2448,,,,,,
2449,,,,,,
2450,,,,,,
2451,,,,,,
2452,,,,,,
2453,,,,,,
2454,,,,,,
2455,,,,,,
2456,,,,,,
2457,,,,,,
2458,,,,,,
2459,,,,,,
2460,,,,,,
2461,,,,,,
2462,,,,,,
2463,,,,,,
2464,,,,,,
2465,,,,,,
2466,,,,,,
2467,,,,,,
2468,,,,,,
2469,,,,,,
2470,,,,,,
2471,,,,,,
2472,,,,,,
2473,,,,,,
2474,,,,,,
2475,,,,,,
2476,,,,,,
2477,,,,,,
2478,,,,,,
2479,,,,,,
2480,,,,,,
2481,,,,,,
2482,,,,,,
2483,,,,,,
2484,,,,,,
2485,,,,,,
2486,,,,,,
2487,,,,,,
2488,,,,,,
2489,,,,,,
2490,,,,,,
2491,,,,,,
2492,,,,,,
2493,,,,,,
2494,,,,,,
2495,,,,,,
2496,,,,,,
2497,,,,,,
2498,,,,,,
2499,,,,,,
2500,,,,,,
2501,,,,,,
2502,,,,,,
2503,,,,,,
2504,,,,,,
2505,,,,,,
2506,,,,,,
2507,,,,,,
2508,,,,,,
2509,,,,,,
2510,,,,,,
2511,,,,,,
2512,,,,,,
2513,,,,,,
2514,,,,,,
2515,,,,,,
2516,,,,,,
2517,,,,,,
2518,,,,,,
2519,,,,,,
2520,,,,,,
2521,,,,,,
2522,,,,,,
2523,,,,,,
2524,,,,,,
2525,,,,,,
2526,,,,,,
2527,,,,,,
2528,,,,,,
2529,,,,,,
2530,,,,,,
2531,,,,,,
2532,,,,,,
2533,,,,,,
2534,,,,,,
2535,,,,,,
2536,,,,,,
2537,,,,,,
2538,,,,,,
2539,,,,,,
2540,,,,,,
2541,,,,,,
2542,,,,,,
2543,,,,,,
2544,,,,,,
2545,,,,,,
2546,,,,,,
2547,,,,,,
2548,,,,,,
2549,,,,,,
2550,,,,,,
2551,,,,,,
2552,,,,,,
2553,,,,,,
2554,,,,,,
2555,,,,,,
2556,,,,,,
2557,,,,,,
2558,,,,,,
2559,,,,,,
2560,,,,,,
2561,,,,,,
2562,,,,,,
2563,,,,,,
2564,,,,,,
2565,,,,,,
2566,,,,,,
2567,,,,,,
2568,,,,,,
2569,,,,,,
2570,,,,,,
2571,,,,,,
2572,,,,,,
2573,,,,,,
2574,,,,,,
2575,,,,,,
2576,,,,,,
2577,,,,,,
2578,,,,,,
2579,,,,,,
2580,,,,,,
2581,,,,,,
2582,,,,,,
2583,,,,,,
2584,,,,,,
2585,,,,,,
2586,,,,,,
2587,,,,,,
2588,,,,,,
2589,,,,,,
2590,,,,,,
2591,,,,,,
2592,,,,,,
2593,,,,,,
2594,,,,,,
2595,,,,,,
2596,,,,,,
2597,,,,,,
2598,,,,,,
2599,,,,,,
2600,,,,,,
2601,,,,,,
2602,,,,,,
2603,,,,,,
2604,,,,,,
2605,,,,,,
2606,,,,,,
2607,,,,,,
2608,,,,,,
2609,,,,,,
2610,,,,,,
2611,,,,,,
2612,,,,,,
