,,,,,,,,Präsens,,,,,,Präteritum,,,,,,,,,
326,reg,klappen ,to work out/to succeed,Es hat alles gut geklappt.,Everything worked out well.,,,klappe,klappst,klappt,klappen,klappt,klappen,klappte,klapptest,klappte,klappten,klapptet,klappten,geklappt,,,
327,reg,klären,to clarify/to clear up,Wir müssen das Missverständnis klären.,We have to clarify the misunderstanding.,sich,,kläre,klärst,klärt,klären,klärt,klären,klärte,klärtest,klärte,klärten,klärtet,klärteten,geklärt,,,
328,reg,kleiden,to dress/to clothe,Sie kleidet sich elegant.,She dresses elegantly.,sich,,kleide,kleidest,kleidet,kleiden,kleidet,kleiden,kleidete,kleidetest,kleidete,kleideten,kleidetet,kleideten,gekleidet,,,
329,reg,klettern,to climb,Sie klettert auf den Baum.,She is climbing the tree.,,,klettere,kletterst,klettert,klettern,klettert,klettern,kletterte,klettertest,kletterte,kletterten,klettertet,kletterten,geklettert,x,,
330,reg,klettern ,to climb,Sie klettert auf den Baum.,She climbs the tree.,,,klettere,kletterst,klettert,klettern,klettert,klettern,kletterte,klettertest,kletterte,kletterten,klettertet,kletterten,geklettert,,,
331,unr,klingeln,to ring (a doorbell/phone),Das Telefon klingelt.,The phone is ringing.,,,klingele,klingelst,klingelt,klingeln,klingelt,klingeln,klingelte,klingeltest,klingelte,klingelten,klingeltet,klingelten,geklingelt,,,
332,unr,klingen,to sound/to ring,Das Lied klingt schön.,The song sounds beautiful.,,,klinge,klingst,klingt ,klingen,klingt ,klingen,klang,klangst,klang,klangen,klangt,klangen,geklungen ,,,
333,reg,knien,to kneel,Er kniet auf dem Boden.,He is kneeling on the floor.,,,knie,kniest,kniet,knien,kniet,knien,kniete,knietest,kniete,knieten,knietet,knieten,gekniet,,,
334,reg,knüpfen ,to knot/to tie,Sie knüpft ein Freundschaftsband.,She ties a friendship bracelet.,,,knüpfe,knüpfst,knüpft,knüpfen,knüpft,knüpfen,knüpfte,knüpftest,knüpfte,knüpften,knüpftet,knüpften,geknüpft,,,
335,reg,kochen,to cook,Ich koche Spaghetti.,I am cooking spaghetti.,,,koche,kochst,kocht,kochen,kocht,kochen,kochte,kochtest,kochte,kochten,kochtet,kochten,gekocht,,,
336,unr,kommen ,to come,Kommst du mit?,Are you coming along?,,,komme,kommst,kommt,kommen,kommt,kommen,kam,kamst,kam,kamen,kamt,kamen,gekommen ,,,
337,reg,kommunizieren,to communicate,Wir kommunizieren per E-Mail.,We are communicating by email.,,,kommuniziere,kommunizierst,kommuniziert,kommunizieren,kommuniziert,kommunizieren,kommunizierte,kommuniziertest,kommunizierte,kommunizierten,kommuniziertet,kommunizierten,kommuniziert,x,,
338,reg,komplizieren,to complicate,Du darfst das nicht komplizieren.,You must not complicate that.,sich,,kompliziere,komplizierst,kompliziert,komplizieren,kompliziert,komplizieren,komplizierte,kompliziertest,komplizierte,komplizierten,kompliziertet,komplizierten,kompliziert,,,
339,unr,können ,to be able to/can,Ich kann Deutsch sprechen.,I can speak German.,,,kann,kannst ,kann,können ,könnt,können ,konnte,konntest,konnte,konnten,konntet,konnten,gekonnt ,,,
340,reg,kontrollieren ,to control/to check,Er kontrolliert die Tickets.,He is checking the tickets.,,,kontrolliere,kontrollierst,kontrolliert,kontrollieren,kontrolliert,kontrollieren,kontrollierte,kontrolliertest,kontrollierte,kontrollierten,kontrolliertet,kontrollierten,kontrolliert,,,
341,reg,konzentrieren,to concentrate,Er konzentriert sich auf seine Arbeit.,He is concentrating on his work.,sich,auf,konzentriere,konzentrierst,konzentriert,konzentrieren,konzentriert,konzentrieren,konzentrierte,konzentriertest,konzentrierte,konzentrierten,konzentriertet,konzentrierten,konzentriert,x,,
342,reg,kopieren,to copy,Kannst du das Dokument kopieren?,Can you copy the document?,,,kopiere,kopierst,kopiert,kopieren,kopiert,kopieren,kopierte,kopiertest,kopierte,kopierten,kopiertet,kopierten,kopiert,,,
343,reg,korrigieren ,to correct,Sie korrigiert die Fehler.,She corrects the mistakes.,,,korrigiere,korrigierst,korrigiert,korrigieren,korrigiert,korrigieren,korrigierte,korrigiertest,korrigierte,korrigierten,korrigiertet,korrigierten,korrigiert,,,
344,reg,kosten,to cost/to taste,Wie viel kostet das?,How much does that cost?,,,koste,kostest,kostet,kosten,kostet,kosten,kostete,kostetest,kostete,kosteten,kostetet,kosteten,gekostet,x,,
345,reg,kranken,to be ill/to suffer (archaic),Er krankte an einer schweren Krankheit.,He was ill with a serious disease.,sich,,kranke,krankst,krankt,kranken,krankt,kranken,krankte,kranktest,krankte,krankten,kranktet,krankten,gekrankt,,,
346,unr,kränken,to offend/to hurt someone's feelings,Seine Worte haben mich gekränkt.,His words hurt my feelings.,sich,,kränke,kränkst,kränkt,kränken,kränkt,kränken,kränkte,kränktest,kränkte,kränkten,kränktet,kränkten,gekränkt,,,
347,reg,kreuzen,to cross,Wir kreuzen die Straße.,We cross the street.,,,kreuze,kreuzt,kreuzt,kreuzen,kreuzt,kreuzen,kreuzte,kreuztest,kreuzte,kreuzten,kreuztet,kreuzten,gekreuzt,,,
348,reg,kühlen ,to cool,Ich kühle das Getränk.,I am cooling the drink.,,,kühle,kühlst,kühlt,kühlen,kühlt,kühlen,kühlte,kühltest,kühlte,kühlten,kühltet,kühlten,gekühlt,,,
349,reg,kümmern,to take care of/to look after,Er kümmert sich um die Pflanzen.,He is taking care of the plants.,sich,um (A),kümmere,kümmerst,kümmert,kümmern,kümmert,kümmern,kümmerte,kümmertest,kümmerte,kümmerten,kümmertet,kümmerten,gekümmert,x,,
350,reg,laben,to refresh/to revive,Das Wasser labte den Durstigen.,The water refreshed the thirsty one.,sich,,labe,labst,labt,laben,labt,laben,labte,labtest,labte,labten,labtet,labten,gelabt,,,
351,reg,lachen,to laugh,Sie lacht laut.,She is laughing loudly.,,über (A),lache,lachst,lacht,lachen,lacht,lachen,lachte,lachtest,lachte,lachten,lachtet,lachten,gelacht,x,,
352,unr,laden,to load,Er lädt die Kiste in den LKW.,He loads the box into the truck.,,,lade,lädst,lädt,laden,ladet,laden,lud,ludest,lud,luden,ludet,luden,geladet,,,
353,reg,landen,to land,Das Flugzeug ist gelandet.,The plane has landed.,,,lande,landest,landet,landen,landet,landen,landete,landetest,landete,landeten,landetet,landeten,gelandet,,,
354,unr,lassen ,to let/to leave,Er lässt die Tür offen.,He leaves the door open.,,,lasse,lässt,lässt,lassen,lasst,lassen ,ließ,ließest,ließ,ließen,ließet,ließen,gelassen ,,,
355,unr,laufen,to run/to walk,Wir laufen zum Bahnhof.,We walk to the train station.,,,laufe,läufst ,läuft ,laufen,lauft,laufen,lief,liefst,lief,liefen,lieft,liefen,gelaufen,,,
356,reg,leben,to live,Er lebt in Deutschland.,He lives in Germany.,,,lebe,lebst,lebt,leben,lebt,leben,lebte,lebtest,lebte,lebten,lebtet,lebten,gelebt,,,
357,reg,leeren,to empty,Er leert die Flasche.,He empties the bottle.,,,leere,leerst,leert,leeren,leert,leeren,leerte,leertest,leerte,leerten,leertet,leerten,geleert,,,
358,reg,legen,to lay/to put down,Sie legt das Buch auf den Tisch.,She lays the book on the table.,,,lege,legst,legt,legen,legt,legen,legte,legtest,legte,legten,legtet,legten,gelegt,,,
359,unr,leiden,to suffer,Er leidet unter Allergien.,He is suffering from allergies.,,unter,leide,leidest,leidet,leiden,leidet,leiden,litt,littest,litt,litten,littet,litten,gelitten,x,,
360,reg,leisten,to perform/to achieve,Er leistet gute Arbeit.,He is doing good work.,sich,,leiste,leistest,leistet,leisten,leistet,leisten,leistete,leistetest,leistete,leisteten,leistetet,leisteten,geleistet,x,,
361,reg,leiten,to lead/to manage,Er leitet das Team.,He leads the team.,,,leite,leitest,leitet,leiten,leitet,leiten,leitete,leitetest,leitete,leiteten,leitetet,leiteten,geleitet,,,
362,reg,lernen,to learn,Ich lerne Deutsch.,I am learning German.,,,lerne,lernst,lernt,lernen,lernt,lernen,lernte,lerntest,lernte,lernten,lerntet,lernten,gelernt,,,
363,reg,lernen ,to learn,Ich lerne Deutsch.,I am learning German.,,,lerne,lernst,lernt,lernen,lernt,lernen,lernte,lerntest,lernte,lernten,lerntet,lernten,gelernt,,,
364,unr,lesen ,to read,Sie liest ein Buch.,She is reading a book.,,,lese,liest,liest,lesen,lest,lesen,las,lasest,las,lasen,laset,lasen,gelesen ,,,
365,reg,lieben,to love,Ich liebe dich.,I love you.,,,liebe,liebst,liebt,lieben,liebt,lieben,liebte,liebtest,liebte,liebten,liebtet,liebten,geliebt,,,
366,reg,liefern,to deliver,Der Postbote liefert das Paket.,The postman is delivering the package.,,,liefere,lieferst,liefert,liefern,liefert,liefern,lieferte,liefertetst,lieferte,lieferten,liefertet,lieferten,geliefert,x,,
367,unr,liegen,to lie down,Ich liege im Bett.,I am lying in bed.,,,liege,liegst,liegt,liegen,liegt,liegen,lag,lagst,lag,lagen,lagt,lagen,gelegen ,,,
368,reg,lohnen,to be worth it,"Es lohnt sich, früh aufzustehen.",It's worth it to get up early.,sich,,lohne,lohnst,lohnt,lohnen,lohnt,lohnen,lohnte,lohntest,lohnte,lohnten,lohntet,lohnten,gelohnt,,,
369,reg,lösen,to solve,Er löst das Problem.,He is solving the problem.,,,löse,löst,löst,lösen,löst,lösen,löste,löstest,löste,lösten,löstet,lösten,gelöst,x,,
370,reg,machen,to make/to do,Was machst du?,What are you doing?,,,mache,machst,macht,machen,macht,machen,machte,machtest,machte,machten,machtet,machten,gemacht,,,
371,reg,malen,to paint,Sie malt ein Bild.,She is painting a picture.,,,male,malst,malt,malen,malt,malen,malte,maltest,malte,malten,maltet,malten,gemalt,,,
372,reg,markieren,to mark,Er markiert die Stelle im Text.,He marks the spot in the text.,,,markiere,markierst,markiert,markieren,markiert,markieren,markierte,markiertest,markierte,markierten,markiertet,markierten,markiert,,,
373,reg,meinen ,to mean/to think,Was meinst du dazu?,What do you think about that?,,,meine,meinst,meint,meinen,meint,meinen,meinte,meintest,meinte,meinten,meintet,meinten,gemeint,,,
374,reg,melden,to report/to announce,Er meldet sich krank.,He is reporting in sick.,sich,,melde,meldest,meldet,melden,meldet,melden,meldete,meldetest,meldete,meldeten,meldetet,meldeten,gemeldet,x,,
375,reg,merken,to notice/to remember,Ich muss mir das merken.,I have to remember that.,sich,,merke,merkst,merkt,merken,merkt,merken,merkte,merktest,merkte,merkten,merktet,merkten,gemerkt,x,,
376,reg,merken ,to notice/to remember,Ich muss mir das merken.,I have to remember that.,,,merke,merkst,merkt,merken,merkt,merken,merkte,merktest,merkte,merkten,merktet,merkten,gemerkt,,,
377,reg,mit.  arbeiten ,to collaborate/to cooperate,Er arbeitet an dem Projekt mit.,He is collaborating on the project.,,,arbeite. mit,arbeitest. mit,arbeitet. mit,arbeiten. mit,arbeitet. mit,arbeiten. mit,arbeitete. mit,arbeitetest. mit,arbeitete. mit,arbeiteten. mit,arbeitetet. mit,arbeiteten. mit,mitgearbeitet,,,
378,unr,mit.  bringen,to bring along,Kannst du einen Kuchen mitbringen?,Can you bring a cake along?,,,bringe.  mit,bringst.  mit,bringt.  mit,bringen.  mit,bringt.  mit,bringen.  mit,brachte.  mit,brachtest.  mit,brachte.  mit,brachten.  mit,brachtet.  mit,brachten.  mit,mitgebracht ,,,
379,unr,mit.  kommen,to come along,Kommst du mit ins Kino?,Are you coming along to the cinema?,,,komme.  mit,kommst.  mit,kommt.  mit,kommen.  mit,kommt.  mit,kommen.  mit,kam.  mit,kamst.  mit,kam.  mit,kamen.  mit,kamt.  mit,kamen.  mit,mitgekommen ,,,
380,reg,mit.  machen,to participate/to join in,Alle sollen mitmachen.,Everyone should participate.,,,mache. mit,machst. mit,macht. mit,machen. mit,macht. mit,machen. mit,machte. mit,machtest. mit,machte. mit,machten. mit,machtet. mit,machten. mit,mitgemacht,,,
381,unr,mit.  schreiben,to write along/to take notes,Er schreibt in der Vorlesung mit.,He is taking notes in the lecture.,,,schreibe. mit,schreibst. mit,schreibt. mit,schreiben. mit,schreibt. mit,schreiben. mit,schrieb. mit,schriebst. mit,schrieb. mit,schrieben. mit,schriebt. mit,schrieben. mit,mitgeschrieben,x,,
382,unr,möchten,would like to,Ich möchte ein Eis essen.,I would like to eat an ice cream.,,,möchte,möchtest,möchte,möchten,möchtet,möchten,,,,,,,,,,
383,unr,mögen,to like,Ich mag Schokolade.,I like chocolate.,,,mag,mägst,mag,mögen,mögt,mögen,mochte,mochtest,mochte,mochten,mochtet,mochten,gemocht ,,,
384,reg,münzen,to coin,Er münzt einen neuen Begriff.,He coins a new term.,,,münze,münzt,münzt,münzen,münzt,münzen,münzte,münztest,münzte,münzten,münztet,münzten,gemünzt,,,
385,unr,müssen ,to have to/must,Ich muss jetzt gehen.,I have to go now.,,,muss,musst,muss,müssen ,müsst,müssen ,musste,musstest,musste,mussten,musstet,mussten,gemusst ,,,
386,unr,nach.  denken,to think about/to reflect,Ich muss darüber nachdenken.,I have to think about that.,,über (A),denke.  nach,denkst.  nach,denkt.  nach,denken.  nach,denkt.  nach,denken.  nach,dachte.  nach,dachtest.  nach,dachte.  nach,dachten.  nach,dachtet.  nach,dachten.  nach,nachgedacht,x,,
387,unr,nach.  sprechen,to repeat/to say after,"Sprich mir nach: ""Hallo"".","Repeat after me: ""Hello"".",,,spreche.  nach,sprichst.  nach,sprischt.  nach,sprechen.  nach,sprecht.  nach,sprechen.  nach,sprach.  nach,sprachst.  nach,sprach.  nach,sprachen.  nach,spracht.  nach,sprachen.  nach,nachgesprochen,,,
388,reg,nähen,to sew,Sie näht ein Kleid.,She is sewing a dress.,,,nähe,nähst,näht,nähen,näht,nähen,nähte,nähtest,nähte,nähten,nähtet,nähten,genäht,,,
389,unr,nehmen,to take,Ich nehme den Bus.,I take the bus.,,,nehme,nimmst ,nimmt,nehmen,nehmt,nehmen,nahm,nahmst,nahm,nahmen,nahmt,nahmen,genommen ,,,
390,reg,notieren ,to note/to write down,Er notiert die Adresse.,He notes down the address.,,,notiere,notierst,notiert,notieren,notiert,notieren,notierte,notiertest,notierte,notierten,notiertet,notierten,notiert,,,
391,reg,nummerieren,to number,Wir müssen die Seiten nummerieren.,We have to number the pages.,,,nummeriere,nummerierst,nummeriert,nummerieren,nummeriert,nummerieren,nummerierte,nummeriertest,nummerierte,nummerierten,nummeriertet,nummerierten,nummeriert,,,
392,reg,nutzen,to use/to benefit from,Wir nutzen die Gelegenheit.,We are taking advantage of the opportunity.,,,nutze,nutzt,nutzt,nutzen,nutzt,nutzen,nutzte,nutztest,nutzte,nutzten,nutztet,nutzten,genutzt,x,,
393,reg,öffnen ,to open,Er öffnet die Tür.,He opens the door.,,,öffne,öffnest,öffnet,öffnen,öffnet,öffnen,öffnete,öffnetest,öffnete,öffneten,öffnetet,öffneten,geöffnet,,,
394,reg,ordnen,to order/to arrange,Sie ordnet ihre Bücher.,She arranges her books.,sich,,ordne,ordnest,ordnet,ordnen,ordnet,ordnen,ordnete,ordnestest,ordnete,ordneten,ordnetet,ordneten,geordnet,,,
395,reg,organisieren ,to organize,Wir organisieren eine Party.,We are organizing a party.,,,organisiere,organisierst,organisiert,organisieren,organisiert,organisieren,organisierte,organisiertest,organisierte,organisierten,organisiertet,organisierten,organisiert,,,
396,reg,orientieren ,to orient/to get one's bearings,Er orientiert sich am Stadtplan.,He orients himself with the city map.,sich,,orientiere,orientierst,orientiert,orientieren,orientiert,orientieren,orientierte,orientiertest,orientierte,orientierten,orientiertet,orientierten,orientiert,,,
397,reg,osten ,to steer eastward,Das Schiff ostet.,The ship is steering eastward.,,,oste,ostest,ostet,osten,ostet,osten,ostete,ostetest,ostete,osteten,ostetet,osteten,geostet,,,
398,reg,packen,to pack,Ich packe meine Koffer.,I'm packing my suitcases.,,,packe,packst,packt,packen,packt,packen,packte,packtest,packte,packten,packtet,packten,gepackt,,,
399,reg,partizipieren ,to participate,Alle partizipieren an dem Spiel.,Everyone participates in the game.,,,partizipiere,partizipierst,partizipiert,partizipieren,partizipiert,partizipieren,partizipierte,partizipiertest,partizipierte,partizipierten,partizipiertet,partizipierten,partizipiert,,,
400,reg,passen,to fit/to suit,Die Schuhe passen mir nicht.,The shoes don't fit me.,,zu (D),passe,passt,passt,passen,passt,passen,passte,passtest,passte,passten,passtet,passten,gepasst,,,
401,reg,passieren,to happen,Was ist passiert?,What happened?,,,passiere,passierst,passiert,passieren,passiert,passieren,passierte,passiertest,passierte,passierten,passiertet,passierten,passiert,x,,
402,reg,pflegen,to care for/to look after,Sie pflegt ihre Großmutter.,She cares for her grandmother.,,,pflege,pflegst,pflegt,pflegen,pflegt,pflegen,pflegte,pflegtest,pflegte,pflegten,pflegtet,pflegten,gepflegt,,,
403,reg,plakatieren,to put up posters,Die Studenten plakatieren für das Konzert.,The students are putting up posters for the concert.,,,plakatiere,plakatierst,plakatiert,plakatieren,plakatiert,plakatieren,plakatierte,plakatiertest,plakatierte,plakatierten,plakatiertet,plakatierten,plakatiert,,,
404,reg,planen,to plan,Wir planen einen Urlaub.,We are planning a vacation.,,,plane,planst,plant,planen,plant,planen,plante,plantest,plante,planten,plantet,planten,geplant,x,,
405,reg,plastern,to pave/to cover with a plaster,Er pflastert die Wunde.,He covers the wound with a plaster.,,,plastere,plasterst,plastert,plastern,plastert,plastern,plasterte,plastertest,plasterte,plasterten,plastertet,plasterten,geplastert,,,
406,reg,podcasten,to podcast,Er podcastet über Politik.,He podcasts about politics.,,,podcaste,podcastest,podcastet,podcasten,podcastet,podcasten,podcastete,podcastetest,podcastete,podcasteten,podcasteet,podcasteten,gepodcastet,,,
407,reg,posten,to post (online),Sie postet ein Foto.,She is posting a photo.,,,poste,postest,postet,posten,postet,posten,postete,postetest,postete,posteten,postetet,posteten,gepostet,,,
408,reg,probieren ,to try/to taste,Ich möchte das probieren.,I want to try that.,,,probiere,probierst,probiert,probieren,probiert,probieren,probierte,probiertest,probierte,probierten,probiertet,probierten,probiert,,,
409,reg,profitieren ,to profit/to benefit,Sie profitiert von ihrer Erfahrung.,She benefits from her experience.,,,profitiere,profitierst,profitiert,profitieren,profitiert,profitieren,profitierte,profitiertest,profitierte,profitierten,profitiertet,profitierten,profitiert,,,
410,reg,protestieren,to protest,Sie protestieren gegen die Entscheidung.,They are protesting against the decision.,,gegen (A),protestiere,protestierst,protestiert,protestieren,protestiert,protestieren,protestierte,protestiertest,protestierte,protestierten,protestiertet,protestierten,protestiert,x,,
