,,,Präsens,,,,,,Präteritum,,,,,,,,,,,,,,,
352,unr,laden,lade,lädst,lädt,laden,ladet,laden,lud,ludest,lud,luden,ludet,luden,geladet,,,"load,",to load,Er lädt die Kiste in den LKW.,He loads the box into the truck.,,,
353,reg,landen,lande,landest,landet,landen,landet,landen,landete,landetest,landete,landeten,landetet,landeten,gelandet,,,"land, alight",to land,Das Flugzeug ist gelandet.,The plane has landed.,,,
354,unr,lassen ,lasse,lässt,lässt,lassen,lasst,lassen ,ließ,ließest,ließ,ließen,ließet,ließen,gelassen ,,,"load (put sth onto a vehicle, container, or device - charge the phone)",to let/to leave,Er lässt die Tür offen.,He leaves the door open.,,,
355,unr,laufen,laufe,läufst ,läuft ,laufen,lauft,laufen,lief,liefst,lief,liefen,lieft,liefen,gelaufen,,,run (moving on foot # rennen = run fast),to run/to walk,Wir laufen zum Bahnhof.,We walk to the train station.,,,
356,reg,leben,lebe,lebst,lebt,leben,lebt,leben,lebte,lebtest,lebte,lebten,lebtet,lebten,gelebt,,,leben,to live,Er lebt in Deutschland.,He lives in Germany.,,,
357,reg,leeren,leere,leerst,leert,leeren,leert,leeren,leerte,leertest,leerte,leerten,leertet,leerten,geleert,,,"empty, drink off, deplete",to empty,Er leert die Flasche.,He empties the bottle.,,,
358,reg,legen,lege,legst,legt,legen,legt,legen,legte,legtest,legte,legten,legtet,legten,gelegt,,,"lay, put",to lay/to put down,Sie legt das Buch auf den Tisch.,She lays the book on the table.,,,
359,unr,leiden,leide,leidest,leidet,leiden,leidet,leiden,litt,littest,litt,litten,littet,litten,gelitten,,unter,leiden,to suffer,Er leidet unter Allergien.,He is suffering from allergies.,x,,
360,reg,leisten,leiste,leistest,leistet,leisten,leistet,leisten,leistete,leistetest,leistete,leisteten,leistetet,leisteten,geleistet,sich,,leisten,to perform/to achieve,Er leistet gute Arbeit.,He is doing good work.,x,,
361,reg,leiten,leite,leitest,leitet,leiten,leitet,leiten,leitete,leitetest,leitete,leiteten,leitetet,leiteten,geleitet,,,"lead, manage, control",to lead/to manage,Er leitet das Team.,He leads the team.,,,
362,reg,lernen,lerne,lernst,lernt,lernen,lernt,lernen,lernte,lerntest,lernte,lernten,lerntet,lernten,gelernt,,,learn,to learn,Ich lerne Deutsch.,I am learning German.,,,
363,reg,lernen ,lerne,lernst,lernt,lernen,lernt,lernen,lernte,lerntest,lernte,lernten,lerntet,lernten,gelernt,,,"lern, study, teach",to learn,Ich lerne Deutsch.,I am learning German.,,,
364,unr,lesen ,lese,liest,liest,lesen,lest,lesen,las,lasest,las,lasen,laset,lasen,gelesen ,,,read,to read,Sie liest ein Buch.,She is reading a book.,,,
365,reg,lieben,liebe,liebst,liebt,lieben,liebt,lieben,liebte,liebtest,liebte,liebten,liebtet,liebten,geliebt,,,"love, make love, cherish",to love,Ich liebe dich.,I love you.,,,
366,reg,liefern,liefere,lieferst,liefert,liefern,liefert,liefern,lieferte,liefertetst,lieferte,lieferten,liefertet,lieferten,geliefert,,,liefern,to deliver,Der Postbote liefert das Paket.,The postman is delivering the package.,x,,
367,unr,liegen,liege,liegst,liegt,liegen,liegt,liegen,lag,lagst,lag,lagen,lagt,lagen,gelegen ,,,"lie, to be located",to lie down,Ich liege im Bett.,I am lying in bed.,,,
368,reg,lohnen,lohne,lohnst,lohnt,lohnen,lohnt,lohnen,lohnte,lohntest,lohnte,lohnten,lohntet,lohnten,gelohnt,sich,,"pay, reward, be worth",to be worth it,"Es lohnt sich, früh aufzustehen.",It's worth it to get up early.,,,
369,reg,lösen,löse,löst,löst,lösen,löst,lösen,löste,löstest,löste,lösten,löstet,lösten,gelöst,,,lösen,to solve,Er löst das Problem.,He is solving the problem.,x,,
370,reg,machen,mache,machst,macht,machen,macht,machen,machte,machtest,machte,machten,machtet,machten,gemacht,,,"make, create, do, put",to make/to do,Was machst du?,What are you doing?,,,
371,reg,malen,male,malst,malt,malen,malt,malen,malte,maltest,malte,malten,maltet,malten,gemalt,,,"draw, pain, colour, reflect",to paint,Sie malt ein Bild.,She is painting a picture.,,,
372,reg,markieren,markiere,markierst,markiert,markieren,markiert,markieren,markierte,markiertest,markierte,markierten,markiertet,markierten,markiert,,,"mark, highlight",to mark,Er markiert die Stelle im Text.,He marks the spot in the text.,,,
373,reg,meinen ,meine,meinst,meint,meinen,meint,meinen,meinte,meintest,meinte,meinten,meintet,meinten,gemeint,,,"mean, think, intend, signify",to mean/to think,Was meinst du dazu?,What do you think about that?,,,
374,reg,melden,melde,meldest,meldet,melden,meldet,melden,meldete,meldetest,meldete,meldeten,meldetet,meldeten,gemeldet,sich,,melden,to report/to announce,Er meldet sich krank.,He is reporting in sick.,x,,
375,reg,merken,merke,merkst,merkt,merken,merkt,merken,merkte,merktest,merkte,merkten,merktet,merkten,gemerkt,sich,,merken,to notice/to remember,Ich muss mir das merken.,I have to remember that.,x,,
376,reg,merken ,merke,merkst,merkt,merken,merkt,merken,merkte,merktest,merkte,merkten,merktet,merkten,gemerkt,,,"notice, remember, realize",to notice/to remember,Ich muss mir das merken.,I have to remember that.,,,
377,reg,mit.  arbeiten ,arbeite. mit,arbeitest. mit,arbeitet. mit,arbeiten. mit,arbeitet. mit,arbeiten. mit,arbeitete. mit,arbeitetest. mit,arbeitete. mit,arbeiteten. mit,arbeitetet. mit,arbeiteten. mit,mitgearbeitet,,,"work, collaborate, assist",to collaborate/to cooperate,Er arbeitet an dem Projekt mit.,He is collaborating on the project.,,,
378,unr,mit.  bringen,bringe.  mit,bringst.  mit,bringt.  mit,bringen.  mit,bringt.  mit,bringen.  mit,brachte.  mit,brachtest.  mit,brachte.  mit,brachten.  mit,brachtet.  mit,brachten.  mit,mitgebracht ,,,bring with,to bring along,Kannst du einen Kuchen mitbringen?,Can you bring a cake along?,,,
379,unr,mit.  kommen,komme.  mit,kommst.  mit,kommt.  mit,kommen.  mit,kommt.  mit,kommen.  mit,kam.  mit,kamst.  mit,kam.  mit,kamen.  mit,kamt.  mit,kamen.  mit,mitgekommen ,,,come with,to come along,Kommst du mit ins Kino?,Are you coming along to the cinema?,,,
380,reg,mit.  machen,mache. mit,machst. mit,macht. mit,machen. mit,macht. mit,machen. mit,machte. mit,machtest. mit,machte. mit,machten. mit,machtet. mit,machten. mit,mitgemacht,,,"participate, function",to participate/to join in,Alle sollen mitmachen.,Everyone should participate.,,,
381,unr,mit.  schreiben,schreibe. mit,schreibst. mit,schreibt. mit,schreiben. mit,schreibt. mit,schreiben. mit,schrieb. mit,schriebst. mit,schrieb. mit,schrieben. mit,schriebt. mit,schrieben. mit,mitgeschrieben,,,mit. schreiben,to write along/to take notes,Er schreibt in der Vorlesung mit.,He is taking notes in the lecture.,x,,
382,unr,möchten,möchte,möchtest,möchte,möchten,möchtet,möchten,,,,,,,,,,want,would like to,Ich möchte ein Eis essen.,I would like to eat an ice cream.,,,
383,unr,mögen,mag,mägst,mag,mögen,mögt,mögen,mochte,mochtest,mochte,mochten,mochtet,mochten,gemocht ,,,like to,to like,Ich mag Schokolade.,I like chocolate.,,,
384,reg,münzen,münze,münzt,münzt,münzen,münzt,münzen,münzte,münztest,münzte,münzten,münztet,münzten,gemünzt,,,"coin, mint",to coin,Er münzt einen neuen Begriff.,He coins a new term.,,,
385,unr,müssen ,muss,musst,muss,müssen ,müsst,müssen ,musste,musstest,musste,mussten,musstet,mussten,gemusst ,,,must,to have to/must,Ich muss jetzt gehen.,I have to go now.,,,
386,unr,nach.  denken,denke.  nach,denkst.  nach,denkt.  nach,denken.  nach,denkt.  nach,denken.  nach,dachte.  nach,dachtest.  nach,dachte.  nach,dachten.  nach,dachtet.  nach,dachten.  nach,nachgedacht,,über (A),nach. denken,to think about/to reflect,Ich muss darüber nachdenken.,I have to think about that.,x,,
387,unr,nach.  sprechen,spreche.  nach,sprichst.  nach,sprischt.  nach,sprechen.  nach,sprecht.  nach,sprechen.  nach,sprach.  nach,sprachst.  nach,sprach.  nach,sprachen.  nach,spracht.  nach,sprachen.  nach,nachgesprochen,,,repeat,to repeat/to say after,"Sprich mir nach: ""Hallo"".","Repeat after me: ""Hello"".",,,
388,reg,nähen,nähe,nähst,näht,nähen,näht,nähen,nähte,nähtest,nähte,nähten,nähtet,nähten,genäht,,,"sew, stitch, seam, tailor",to sew,Sie näht ein Kleid.,She is sewing a dress.,,,
389,unr,nehmen,nehme,nimmst ,nimmt,nehmen,nehmt,nehmen,nahm,nahmst,nahm,nahmen,nahmt,nahmen,genommen ,,,take,to take,Ich nehme den Bus.,I take the bus.,,,
390,reg,notieren ,notiere,notierst,notiert,notieren,notiert,notieren,notierte,notiertest,notierte,notierten,notiertet,notierten,notiert,,,note,to note/to write down,Er notiert die Adresse.,He notes down the address.,,,
391,reg,nummerieren,nummeriere,nummerierst,nummeriert,nummerieren,nummeriert,nummerieren,nummerierte,nummeriertest,nummerierte,nummerierten,nummeriertet,nummerierten,nummeriert,,,"numner, ticket",to number,Wir müssen die Seiten nummerieren.,We have to number the pages.,,,
392,reg,nutzen,nutze,nutzt,nutzt,nutzen,nutzt,nutzen,nutzte,nutztest,nutzte,nutzten,nutztet,nutzten,genutzt,,,nutzen,to use/to benefit from,Wir nutzen die Gelegenheit.,We are taking advantage of the opportunity.,x,,
393,reg,öffnen ,öffne,öffnest,öffnet,öffnen,öffnet,öffnen,öffnete,öffnetest,öffnete,öffneten,öffnetet,öffneten,geöffnet,,,"open, unlock",to open,Er öffnet die Tür.,He opens the door.,,,
394,reg,ordnen,ordne,ordnest,ordnet,ordnen,ordnet,ordnen,ordnete,ordnestest,ordnete,ordneten,ordnetet,ordneten,geordnet,sich,,"arrange, regulate",to order/to arrange,Sie ordnet ihre Bücher.,She arranges her books.,,,
395,reg,organisieren ,organisiere,organisierst,organisiert,organisieren,organisiert,organisieren,organisierte,organisiertest,organisierte,organisierten,organisiertet,organisierten,organisiert,,,"organize, administer",to organize,Wir organisieren eine Party.,We are organizing a party.,,,
396,reg,orientieren ,orientiere,orientierst,orientiert,orientieren,orientiert,orientieren,orientierte,orientiertest,orientierte,orientierten,orientiertet,orientierten,orientiert,sich,,"orient, inform",to orient/to get one's bearings,Er orientiert sich am Stadtplan.,He orients himself with the city map.,,,
397,reg,osten ,oste,ostest,ostet,osten,ostet,osten,ostete,ostetest,ostete,osteten,ostetet,osteten,geostet,,,orientate,to steer eastward,Das Schiff ostet.,The ship is steering eastward.,,,
398,reg,packen,packe,packst,packt,packen,packt,packen,packte,packtest,packte,packten,packtet,packten,gepackt,,,"pack, catch, grap",to pack,Ich packe meine Koffer.,I'm packing my suitcases.,,,
399,reg,partizipieren ,partizipiere,partizipierst,partizipiert,partizipieren,partizipiert,partizipieren,partizipierte,partizipiertest,partizipierte,partizipierten,partizipiertet,partizipierten,partizipiert,,,"participate, partake",to participate,Alle partizipieren an dem Spiel.,Everyone participates in the game.,,,
400,reg,passen,passe,passt,passt,passen,passt,passen,passte,passtest,passte,passten,passtet,passten,gepasst,,zu (D),"fit, suit, skip, pass",to fit/to suit,Die Schuhe passen mir nicht.,The shoes don't fit me.,,,
401,reg,passieren,passiere,passierst,passiert,passieren,passiert,passieren,passierte,passiertest,passierte,passierten,passiertet,passierten,passiert,,,passieren,to happen,Was ist passiert?,What happened?,x,,
402,reg,pflegen,pflege,pflegst,pflegt,pflegen,pflegt,pflegen,pflegte,pflegtest,pflegte,pflegten,pflegtet,pflegten,gepflegt,,,"care, look after, nurse",to care for/to look after,Sie pflegt ihre Großmutter.,She cares for her grandmother.,,,
403,reg,plakatieren,plakatiere,plakatierst,plakatiert,plakatieren,plakatiert,plakatieren,plakatierte,plakatiertest,plakatierte,plakatierten,plakatiertet,plakatierten,plakatiert,,,announce by poster,to put up posters,Die Studenten plakatieren für das Konzert.,The students are putting up posters for the concert.,,,
404,reg,planen,plane,planst,plant,planen,plant,planen,plante,plantest,plante,planten,plantet,planten,geplant,,,planen,to plan,Wir planen einen Urlaub.,We are planning a vacation.,x,,
405,reg,plastern,plastere,plasterst,plastert,plastern,plastert,plastern,plasterte,plastertest,plasterte,plasterten,plastertet,plasterten,geplastert,,,"pave, apply a plaster",to pave/to cover with a plaster,Er pflastert die Wunde.,He covers the wound with a plaster.,,,
406,reg,podcasten,podcaste,podcastest,podcastet,podcasten,podcastet,podcasten,podcastete,podcastetest,podcastete,podcasteten,podcasteet,podcasteten,gepodcastet,,,podcast,to podcast,Er podcastet über Politik.,He podcasts about politics.,,,
407,reg,posten,poste,postest,postet,posten,postet,posten,postete,postetest,postete,posteten,postetet,posteten,gepostet,,,post,to post (online),Sie postet ein Foto.,She is posting a photo.,,,
408,reg,probieren ,probiere,probierst,probiert,probieren,probiert,probieren,probierte,probiertest,probierte,probierten,probiertet,probierten,probiert,,,"try, taste",to try/to taste,Ich möchte das probieren.,I want to try that.,,,
409,reg,profitieren ,profitiere,profitierst,profitiert,profitieren,profitiert,profitieren,profitierte,profitiertest,profitierte,profitierten,profitiertet,profitierten,profitiert,,,"profit, benefit",to profit/to benefit,Sie profitiert von ihrer Erfahrung.,She benefits from her experience.,,,
410,reg,protestieren,protestiere,protestierst,protestiert,protestieren,protestiert,protestieren,protestierte,protestiertest,protestierte,protestierten,protestiertet,protestierten,protestiert,,gegen (A),protestieren,to protest,Sie protestieren gegen die Entscheidung.,They are protesting against the decision.,x,,
411,reg,prüfen,prüfe,prüfst,prüft,prüfen,prüft,prüfen,prüfte,prüftest,prüfte,prüften,prüftet,prüften,geprüft,,,prüfen,to check/to examine,Er prüft die Rechnung.,He is checking the bill.,x,,
412,reg,prüfen ,prüfe,prüfst,prüft,prüfen,prüft,prüfen,prüfte,prüftest,prüfte,prüften,prüftet,prüften,geprüft,,,"check, test, examine, audit",to check/to examine,Er prüft die Rechnung.,He is checking the bill.,,,
413,reg,quatschen ,quatsche,quatschst,quatscht,quatschen,quatscht,quatschen,quatschte,quatschtest,quatschte,quatschten,quatschtet,quatschten,gequatscht,,,"babble, blather",to chat/to gossip (colloquial),Wir quatschen über alles Mögliche.,We chat about all sorts of things.,,,
414,unr,raten,rate,räst,rät,raten,ratet,raten,riet,rietest,riet,rieten,rietet,rieten,geraten ,,,guest,to guess/to advise,Kannst du das Rätsel raten?,Can you guess the riddle?,,,
415,reg,ratschlagen,schlage rat,schlägst rat,schlägt rat,schlagen rat,schlagt rat,schlagen rat,schlug rat,schlugst rat,schlug rat,schlugen rat,schlugt rat,schlugen rat,ratsgeschlagen,sich,,confer with,to consult/to deliberate,Sie schlagen miteinander Rat.,They consult with each other.,,,
416,reg,rauben,raube,raubst,raubt,rauben,raubt,rauben,raubte,raubtest,raubte,raubten,raubtet,raubten,geraubt,,,"plunder, rop",to rob/to steal,Die Räuber rauben die Bank aus.,The robbers are robbing the bank.,,,
417,reg,rauchen,rauche,rauchst,raucht,rauchen,raucht,rauchen,rauchte,rauchtest,rauchte,rauchten,rauchtet,rauchten,geraucht,,,"smoke, puff, smolder",to smoke,Er raucht eine Zigarette.,He is smoking a cigarette.,,,
418,reg,räumen,räume,räumst,räumt,räumen,räumt,räumen,räumte,räumtest,räumte,räumten,räumtet,räumten,geräumt,,,"clear, clean",to clear/to tidy up,Räum bitte dein Zimmer auf.,Please tidy up your room.,,,
419,reg,reagieren ,reagiere,reagierst,reagiert,reagieren,reagiert,reagieren,reagierte,reagiertest,reagierte,reagierten,reagiertet,reagierten,reagiert,,,"react, respond, answer",to react,Wie hat er reagiert?,How did he react?,,,
420,reg,reaktivieren ,reaktiviere,reaktivierst,reaktiviert,reaktivieren,reaktiviert,reaktivieren,reaktivierte,reaktiviertest,reaktivierte,reaktivierten,reaktiviertet,reaktivierten,reaktiviert,,,reactivate,to reactivate,Wir müssen den alten Plan reaktivieren.,We have to reactivate the old plan.,,,
421,reg,recherchieren ,recherchiere,recherchierst,recherchiert,recherchieren,recherchiert,recherchieren,recherchierte,recherchiertest,recherchierte,recherchierten,recherchiertet,recherchierten,recherchiert,,,"research, investigate",to research,Sie recherchiert für ihre Arbeit.,She is researching for her work.,,,
422,reg,rechnen,rechne,rechnest,rechnet,rechnen,rechnet,rechnen,rechnete,rechnetest,rechnete,rechneten,rechnetet,rechneten,gerechnet,,mit (D),rechnen,to calculate/to count,Er rechnet die Kosten zusammen.,He is calculating the costs.,x,,
423,reg,reden,rede,redest,redet,reden,redet,reden,redete,redetest,redete,redeten,redetet,redeten,geredet,,,"say, talk, speak",to talk/to speak,Er redet viel.,He talks a lot.,,,
424,reg,reduzieren,reduziere,reduzierst,reduziert,reduzieren,reduziert,reduzieren,reduzierte,reduziertest,reduzierte,reduzierten,reduziertet,reduzierten,reduziert,,,reduzieren,to reduce,Wir müssen den Müll reduzieren.,We have to reduce the garbage.,x,,
425,reg,regeln,regle,regelst,regelt,regeln,regelt,regeln,regelte,regeltest,regelte,regelten,regeltet,regelten,geregelt,,,"manage, control",to regulate/to settle,Wir müssen das Problem regeln.,We have to settle the problem.,,,
426,reg,regen,rege,regst,regt,regen,regt,regen,regte,regtest,regte,regten,regtet,regten,geregt,sich,,"stir, move",to stir/to move,Er regt sich nicht.,He isn't moving.,,,
427,reg,regnen,regne,regnest	,regnet,regnen,regnet,regnen,regnete,regnetest	,regnete,regneten	,regnetet	,regneten	,geregnet,,,rain,to rain,Es regnet draußen.,It's raining outside.,,,
428,unr,reichen,reiche,reichst,reicht,reichen,recht,reichen,reichte,reichtest,reichte,reichten,reichtet,reichten,gereicht,,,"hand, pass, reach",to be enough/to pass,Das Geld reicht nicht.,The money is not enough.,,,
429,reg,reichen,reiche,reichst,reicht,reichen,reicht,reichen,reichte,reichtetest,reichte,reichten,reichtet,reichten,gereicht,,nach (D),reichen,to be enough/to pass,Das Geld reicht nicht.,The money is not enough.,x,,
430,unr,reifen ,reife,reifst,reift,reifen,reift,reifen,reifte,reiftest,reifte,reiften,reiftet,reiften,gereift,,,"ripen, mature, age, mellow",to mature/to ripen,Die Früchte reifen in der Sonne.,The fruits are ripening in the sun.,,,
431,reg,reimen,reime,reimst,reimt,reimen,reimt,reimen,reimte,reimtest,reimte,reimten,reimtet,reimten,gereimt,,,"rhyme, rime",to rhyme,Er reimt ein Gedicht.,He is rhyming a poem.,,,
